encoded, decoded, type
51, luc_besson, director
54, michael_bay, director
55, robert_zemeckis, director
56, joe_johnston, director
58, katsuyuki_motohiro, director
61, brian_helgeland, director
62, andy_wachowski, director
64, richard_donner, director
66, simon_west, director
67, trey_parker, director
70, m_night_shyamalan, director
71, david_fincher, director
72, dan_lund, director
74, bryan_singer, director
75, doug_aarniokoski, director
77, peter_jackson, director
80, gregory_hoblit, director
81, 1145736-neil_marshall, director
83, antoine_fuqua, director
85, nicholas_ray, director
87, michael_lehmann, director
88, tony_scott, director
90, florent_emilio_siri, director
92, louis_leterrier, director
93, timo_vuorensola, director
96, 1031663-tim_johnson, director
97, gore_verbinski, director
98, ang_lee, director
100, jeanpierre_jeunet, director
101, richard_loncraine, director
102, marleen_gorris, director
104, wes_anderson, director
106, martin_scorsese, director
107, terry_zwigoff, director
109, kathryn_bigelow, director
110, 1030366-kevin_smith, director
111, tim_burton, director
113, george_lucas, director
114, nicholas_hytner, director
115, robert_altman, director
116, john_sayles, director
117, frank_darabont, director
118, rachel_talalay, director
119, mike_newell, director
120, christopher_monger, director
121, steven_spielberg, director
122, kenneth_branagh, director
123, jane_campion, director
125, james_ivory, director
126, philip_jackson, director
127, todd_solondz, director
129, kevin_costner, director
130, joel_coen, director
131, jim_mallon, director
132, nick_park, director
133, john_schlesinger, director
134, mamoru_oshii, director
137, stanley_kubrick, director
138, joseph_vilsmaier, director
139, danny_boyle, director
140, roland_emmerich, director
141, david_semel, director
143, francis_ford_coppola, director
145, alfred_hitchcock, director
149, billy_wilder, director
151, michael_curtiz, director
153, orson_welles, director
156, john_huston, director
157, stanley_tucci, director
158, richard_fleischer, director
159, mike_leigh, director
160, doug_liman, director
162, mel_stuart, director
164, woody_allen, director
165, john_cleese, director
167, terry_jones, director
169, arthur_penn, director
170, john_sturges, director
172, oliver_stone, director
173, james_foley, director
174, 1040928-john_carpenter, director
176, ian_macnaughton, director
177, daniel_vigne, director
178, volker_schloendorff, director
179, guiseppe_tornatore, director
181, marc_caro, director
183, stephen_frears, director
184, anthony_minghella, director
185, jim_sheridan, director
187, steven_soderbergh, director
188, pierre_trividic, director
189, errol_morris, director
191, milos_forman, director
193, irvin_kershner, director
195, rob_reiner, director
196, mike_nawrocki, director
198, terry_gilliam, director
200, sergio_leone, director
201, bruce_robinson, director
203, robert_mulligan, director
205, richard_marquand, director
206, wim_wenders, director
207, jeff_cochran, director
208, akira_kurosawa, director
210, andrei_tarkovsky, director
211, bill_forsyth, director
213, mcg, director
214, tom_stoppard, director
215, peter_weir, director
216, mike_nichols, director
217, james_a_contner, director
218, david_lean, director
220, roman_polanski, director
221, robert_wise, director
224, francisco-perez-dolz, director
225, harold_ramis, director
226, john_frankenheimer, director
228, franklin_j_schaffner, director
229, jim_jarmusch, director
230, katsuhiro_otomo, director
231, stuart_rosenberg, director
232, mel_brooks, director
233, william_wyler, director
234, hal_ashby, director
235, philip_kaufman, director
236, roland_joffe, director
237, 162659443, director
240, fred_m_wilcox, director
241, paul_schrader, director
242, billy_bob_thornton, director
243, christopher_guest, director
244, george_armitage, director
245, jay-roach, director
246, john_woo, director
247, curtis_hanson, director
248, mark_joffe, director
249, peter_cattaneo, director
250, andrew_niccol, director
251, ivan_reitman, director
252, paul_verhoeven, director
253, robert_duvall, director
254, richard_kwietniowski, director
255, david_mamet, director
256, don_roos, director
257, hal_hartley, director
258, vincent_gallo, director
259, darren_aronofsky, director
260, rob-king, director
262, frank_lloyd, director
263, william_friedkin, director
264, hugh-hudson, director
265, bernardo_bertolucci, director
267, alex_cox, director
268, 1053315-john_hughes, director
270, fritz_lang, director
271, david_lynch, director
272, 1055159-michael_moore, director
273, steven_lisberger, director
274, mick_jackson, director
275, carl_reiner, director
276, michael_radford, director
277, jim_henson, director
278, jamie_uys, director
280, vincenzo_natali, director
281, cameron_crowe, director
282, david_moreau, director
283, nanni_moretti, director
284, eric_darnell, director
285, susan_stroman, director
286, griffin_dunne, director
287, gary_ross, director
288, roberto_benigni, director
289, bill_condon, director
291, frank_oz, director
292, 1128005-kirk_jones, director
293, thomas_vinterberg, director
295, 1001257-peter_berg, director
296, mark_herman, director
297, john_madden, director
298, george_p_cosmatos, director
300, john_g_avildsen, director
301, terrence_malick, director
302, anthony_drazan, director
303, david_cronenberg, director
304, mike_judge, director
305, michael_crichton, director
306, 1063458-michael_anderson, director
307, ted_post, director
308, j_lee_thompson, director
309, 1015315-don_taylor, director
310, guy_ritchie, director
311, don_siegel, director
312, roger_michell, director
313, josef_rusnak, director
314, tom_tykwer, director
315, barry_sonnenfeld, director
316, chris_weitz, director
317, daniel_myrick, director
318, kinka_usher, director
319, roger_corman, director
320, brad_bird, director
322, ernst_lubitsch, director
323, david_zucker, director
324, rupert_wainwright, director
325, sam_mendes, director
326, lawrence_kasdan, director
327, krzysztof_kieslowski, director
328, robert_aldrich, director
329, guy_hamilton, director
330, werner_herzog, director
332, spike_jonze, director
333, 1042742-alan_parker, director
334, pedro_almodovar, director
336, wd_richter, director
337, norman_jewison, director
338, martin_brest, director
339, lewis_john_carlino, director
340, dennis_hopper, director
341, dean_parisot, director
342, bob_rafelson, director
343, amy_heckerling, director
344, penelope_spheeris, director
346, gary_sinise, director
347, al_reinert, director
348, peter_yates, director
349, director-ridley-scott, director
350, spike_lee, director
351, john_milius, director
352, barry_levinson, director
354, sidney_lumet, director
355, lewis_gilbert, director
356, roy_ward_baker, director
357, ethan_coen, director
358, paul_michael_glaser, director
359, None, director
360, 1042523-george_miller, director
361, peter_lord, director
362, bruce_beresford, director
363, juzo_itami, director
364, brian_hutton, director
366, tarsem, director
367, simon_wells, director
368, stephen_daldry, director
370, felipe_cazals, director
371, susan_seidelman, director
372, jeanjacques_annaud, director
373, christopher_nolan, director
374, albert_brooks, director
375, leni_riefenstahl, director
376, danny_devito, director
378, henry_king, director
379, sydney_pollack, director
380, manuel_huerga, director
381, peter_hyams, director
382, genevieve_robert, director
383, ken_russell, director
384, stephen_herek, director
385, john_cameron_mitchell, director
386, vladimir_menshov, director
387, john_irvin, director
388, richard_linklater, director
389, edward_dmytryk, director
390, christopher_morahan, director
391, quentin_lawrence, director
392, nagamine-tatsuya, director
393, john_mackenzie, director
394, jayne-loader, director
395, joel_zwick, director
396, douglas_trumbull, director
397, phillip_noyce, director
398, nathan_juran, director
399, busi_cortes, director
400, roy_andersson, director
401, john_badham, director
402, jim_sharman, director
403, cy_endfield, director
404, les_blank, director
405, freddie_francis, director
406, nicolas_roeg, director
407, agnieszka_holland, director
408, carroll_ballard, director
409, francois_truffaut, director
410, niki_caro, director
411, 1145347-john_moore, director
412, john_guillermin, director
413, manny_nathan_hahn, director
414, shari_springer_berman, director
415, robert_hamer, director
416, sofia_coppola, director
417, _0158984, director
418, gabriel_axel, director
419, thomas_mccarthy, director
420, larry_wachowski, director
421, richard_curtis, director
422, lars_von_trier, director
423, dewey-nicks, director
424, zbigniew_rybczynski, director
425, 1006013-keith_gordon, director
426, jeanjacques_beineix, director
427, herbert_ross, director
428, sam_wood, director
430, howard_hawks, director
431, lq_jones, director
432, wolfgang_becker, director
433, michel_gondry, director
434, don_chaffey, director
435, michael_verhoeven, director
436, nick_broomfield, director
437, james_bridges, director
438, john_gatins, director
439, john_boorman, director
440, darryn_welch, director
441, karin_williams, director
442, blake_edwards, director
443, fred_schepisi, director
444, robert_lieberman, director
445, joseph_sargent, director
446, geoff_murphy, director
447, 1060778-joss_whedon, director
448, steve-box, director
449, 1165744-james_mcteigue, director
450, 1167865-jonathan_dayton, director
451, marc_forster, director
452, alfonso_cuaron, director
453, martin_campbell, director
455, raja_gosnell, director
457, betty_thomas, director
458, ronald_neame, director
459, jan_de_bont, director
460, rob_minkoff, director
461, ron_underwood, director
462, 1106491-lee_rose, director
463, troy_miller, director
464, peter_segal, director
465, gary_winick, director
466, paul_anderson, director
467, dwight_h_little, director
469, john_pasquin, director
470, adam_shankman, director
471, john_whitesell, director
472, aaron_seltzer, director
473, tom_dey, director
474, alexandre-aja, director
475, christophe_gans, director
476, david_frankel, director
477, anthony_russo, director
478, justin_lin, director
479, larry_charles, director
480, zack_snyder, director
481, martin_weisz, director
482, paul_greengrass, director
483, john_lasseter, director
485, steve_oedekerk, director
486, chris_noonan, director
487, andras-solyom, director
488, dennis_dugan, director
489, kevin_reynolds, director
490, peter_farrelly, director
491, chuck_russell, director
492, paul_weiland, director
493, chris_columbus, director
494, garry_marshall, director
495, jj_abrams, director
496, geoffrey-g-bowers, director
497, randal_kleiser, director
498, tony_kaye, director
499, justin_kerrigan, director
500, brian_de_palma, director
501, andrew_dominik, director
502, andrew_adamson, director
503, 1141962-richard_kelly, director
504, peter_docter, director
505, andrew_stanton, director
506, edgar_wright, director
507, matt_stone, director
509, michael_mann, director
510, mike_figgis, director
511, tim_robbins, director
512, clint_eastwood, director
513, robert_longo, director
514, neil_jordan, director
515, robert_redford, director
516, 1022918-andrew_davis, director
517, steven_zaillian, director
518, nora_ephron, director
519, jerry_zucker, director
520, ron_clements, director
521, leslie_h_martinson, director
522, jonathan_demme, director
523, gary_trousdale, director
524, richard_thorpe, director
526, george-tillman-jr, director
527, claude_berri, director
528, carol_reed, director
530, michael_cimino, director
531, zhang_yimou, director
533, fred_zinnemann, director
535, karwai-wong, director
536, irwin_winkler, director
537, jonathan_lynn, director
538, pete_schuermann, director
539, vittorio_de_sica, director
540, hiroshi_teshigahara, director
542, charlie_s_chaplin, director
544, charlie_chaplin, director
546, mike_hodges, director
547, gus_van_sant, director
548, ingmar_bergman, director
549, james_mangold, director
550, georges_lautner, director
551, gurinder_chadha, director
552, sam_peckinpah, director
554, patrice_leconte, director
555, 1048166-shawn_levy, director
556, alan_j_pakula, director
557, alejandro_gonzalez_inniaritu, director
558, zeze_gamboa, director
559, edward_zwick, director
560, kevin_macdonald, director
561, robert_clouse, director
563, henrigeorges_clouzot, director
564, antonioni, director
565, alexander_payne, director
566, mark_achbar, director
567, george_clooney, director
568, jason_reitman, director
570, stanley_tong, director
571, gregory_widen, director
572, roger_donaldson, director
573, david_carson, director
575, henry_selick, director
576, joe_pytka, director
577, f_gary_gray, director
578, robert_stevenson, director
579, frank_capra, director
580, jon_avnet, director
581, russell_mulcahy, director
582, phil_alden_robinson, director
583, william_dear, director
584, michael_catonjones, director
585, guy_crawford, director
586, james_l_brooks, director
587, tobe_hooper, director
588, joe_dante, director
589, walter_murch, director
590, martin_rosen, director
591, peter_macdonald, director
592, terry_hughes, director
593, vincent_ward, director
594, stephen_sommers, director
595, paul_brickman, director
596, hayao_miyazaki, director
597, joel_schumacher, director
598, kunihiko_yuyama, director
599, emile_ardolino, director
600, david_twohy, director
601, wojciech_wojcik, director
602, roger_christian, director
603, eric_leighton, director
604, don_bluth, director
605, antony_hoffman, director
606, courtney_solomon, director
607, ronald_f_maxwell, director
608, hans_zimmer, director
609, anne_julien, director
610, colin_higgins, director
611, baz_luhrmann, director
612, hironobu_sakaguchi, director
613, brian-trenchard-smith, director
614, iain_softley, director
615, matthew_robbins, director
616, kazuki_akane, director
617, jack_fletcher, director
618, chris_sanders, director
619, isao_takahata, director
620, stuart_baird, director
621, jules_bass, director
622, mark_steven_johnson, director
623, shinichiro_watanabe, director
625, jonathan_mostow, director
626, len_wiseman, director
627, kevin_seymour, director
629, melvin_frank, director
630, guillermo_del_toro, director
631, michael_vejar, director
632, ken_klein, director
633, kelly_asbury, director
634, brian_dannelly, director
635, _0190859, director
636, jared_hess, director
637, 1040953-nick_castle, director
638, hiroshi_morioka, director
639, kerry_conran, director
640, jon_turteltaub, director
641, david_s_goyer, director
642, michael_rymer, director
643, 1064812-andy_jones, director
644, brad_silberling, director
645, betsy_chasse, director
646, shinji_aramaki, director
647, francis_lawrence, director
648, tim_story, director
649, karyn_kusama, director
650, takeshi_nozue, director
651, dave_mckean, director
652, kurt_wimmer, director
653, brett_ratner, director
654, richard_taylor, director
655, borja_manso, director
656, david_yates, director
657, matthew_vaughn, director
658, jon_favreau, director
660, mike-gabriel, director
661, steven_e_de_souza, director
662, _0602452, director
663, renny_harlin, director
664, marco_brambilla, director
665, fred_dekker, director
666, alan_smithee, director
667, roger_vadim, director
668, andrew_bergman, director
669, ben_stiller, director
670, henry_koster, director
671, tod_browning, director
672, wes_craven, director
673, lambert_hillyer, director
674, taylor_hackford, director
675, paul_thomas_anderson, director
676, roger_spottiswoode, director
677, stefan_schwartz, director
678, stephen_hopkins, director
679, mimi_leder, director
680, steve_miner, director
681, danny_steinmann, director
682, stephen_norrington, director
683, lance_mungia, director
684, federico_fellini, director
686, douglas_aarniokoski, director
687, john_glen, director
688, peter_bonerz, director
689, daniel_petrie, director
690, francois_girard, director
691, mark_pellington, director
692, lewis_teague, director
693, david_o_russell, director
694, terence_young, director
695, chen_kaige, director
696, eric_radomski, director
697, don_paul, director
698, adrian_lyne, director
699, sergei_eisenstein, director
700, clive_barker, director
701, jim_wynorski, director
702, stephen_t_kay, director
703, danny_leiner, director
704, john_r_cherry_iii, director
705, joe_roth, director
706, sharon-maguire, director
707, mathieu_kassovitz, director
708, keenen_ivory_wayans, director
709, jules_dassin, director
710, cheh_chang, director
711, charles_russell, director
712, oliver_hirschbiegel, director
713, steven_shainberg, director
714, julie_taymor, director
716, ben_sharpsteen, director
717, fernando_meirelles, director
719, eric_brevig, director
720, aki_kaurismaeki, director
721, stephen_chow, director
722, uli_edel, director
724, marcus_nispel, director
725, denys_arcand, director
726, michael_haneke, director
727, kinji_fukasaku, director
728, lexi_alexander, director
729, thorkranong_sirchua, director
730, aaron_norris, director
731, jeanluc_godard, director
732, takeshi_kitano, director
733, luis_bunuel, director
734, walter_salles_jr, director
736, chan_wook_park, director
738, florian_henckeldonnersmarck, director
739, shawn_bannon, director
740, sean_penn, director
741, tony_gilroy, director
742, 1181007-juan_antonio_bayona, director
743, sylvester_stallone, director
745, charles_shyer, director
746, pj_hogan, director
747, larry_and_andy_wachowski, director
748, clyde_geronimi, director
749, william_shatner, director
750, leonard_nimoy, director
751, mel_smith, director
752, david_hand, director
753, wolfgang_reitherman, director
754, hugh_wilson, director
755, jerry_paris, director
756, jim_drake_ii, director
757, alan_myerson, director
758, peter-faiman, director
759, irwin_allen, director
760, walter_lang, director
761, penny_marshall, director
762, gene_saks, director
763, bob_fosse, director
764, nancy_meyers, director
765, david_s_ward, director
766, joshua_logan, director
767, wayne_wang, director
768, cathy_malkasian, director
769, andrew_fleming, director
770, 1049943-peter_howitt, director
771, gene_kelly, director
772, brian_levant, director
773, ken_hughes, director
774, 1045105-todd_phillips, director
775, richard_attenborough, director
776, 1052316-peter_hewitt, director
777, alan_metter, director
778, dave_meyers, director
779, bibo_bergeron, director
780, kevin_spacey, director
781, frederik_du_chau, director
782, andy_tennant, director
783, conrad_vernon, director
784, angela_robinson_iii, director
785, david_dobkin, director
786, bennett_miller, director
787, steve_spaz_williams, director
788, tim_hill, director
789, richard_eyre, director
790, 1128833-marc_lawrence, director
791, peter_hedges, director
792, steve_hickner, director
793, kevin_lima, director
794, alex_haworth, director
796, ching_siutung, director
797, michael_gottlieb, director
798, abbas_kiarostami, director
800, yoji_yamada, director
801, barbet_schroeder, director
803, scott-kalvert, director
804, emir_kusturica, director
805, bo_widerberg, director
806, george_hickenlooper, director
807, glenn_gordon_caron, director
808, 196111261, director
809, sean_s_cunningham, director
810, john_fortenberry, director
811, todd_haynes, director
812, willard_huyck, director
813, gil_junger, director
814, julio_medem, director
815, alejandro_amenabar, director
816, eddie_griffin, director
817, jasmin_dizdar, director
818, mary_harron, director
819, chris_mancini, director
820, ole_bornedal, director
821, lukas_moodysson, director
822, brian_gilbert, director
823, jessie_nelson, director
824, robert_houston, director
825, dylan_kidd, director
826, petter_naess, director
828, david_gordon_green, director
829, 1147718-paul_hunter, director
830, anders_thomas_jensen, director
831, francois_ozon, director
832, clark_johnson, director
833, eric_bress, director
834, luke_greenfield, director
835, dj_caruso, director
836, mark_waters_viii, director
837, _0944981, director
838, wai-keung-lau, director
839, rawson_marshall_thurber, director
840, zach_braff, director
841, paul_mcguigan, director
842, david_r_ellis, director
843, josef_fares, director
844, prachya_pinkaew, director
846, kim_ki_duk, director
847, timbor_bekmambetov, director
849, kuk_kwok_leung, director
850, stephenjanderson, director
851, satoshi_kon, director
852, david_silverman, director
854, tad_stones, director
855, jim_gillespie, director
856, bob_spiers, director
857, _0734747, director
858, demian_lichtenstein, director
859, charles_lamont, director
860, vondie_curtishall, director
861, steve_beck, director
862, masaki_kobayashi, director
863, terry_george, director
864, judd_apatow, director
865, josh_gordon, director
867, alexandre_rockwell, director
868, joseph_ruben, director
869, jon_amiel, director
870, lesli_linka_glatter, director
871, john_n_smith, director
872, michael_goldenberg, director
873, ted_demme, director
874, carl_franklin, director
875, jill_goldman, director
876, jeremy_leven, director
877, gillian_armstrong, director
878, alfonso_arau, director
879, marc_rocco, director
880, michael_apted, director
881, antonia_bird, director
882, stephan_elliott, director
883, luis_mandoki, director
884, bille_august, director
886, dominic_sena, director
887, michael_hoffman, director
888, diarmuid_lawrence, director
889, michael_winterbottom, director
890, alexandre_tarta, director
891, howard_zieff, director
892, allan_moyle, director
893, jeremiah_chechik, director
894, pat_oconnor, director
895, jean_jacques_annud, director
896, _0915400, director
898, frank_coraci, director
899, randall_wallace, director
900, kenny_ortega, director
901, john_musker, director
902, thomas_carter_ii, director
903, howard_deutch, director
904, john_dahl, director
905, roger_kumble, director
906, philip_saville, director
907, oliver_parker, director
908, kelly_makin, director
909, 1110733-rand_ravich, director
910, kimberly_peirce, director
911, martha-fiennes, director
912, ron_shelton, director
913, edward_norton, director
914, heidi_ewing, director
915, jeremy_podeswa, director
916, joan_chen, director
917, david_mcnally_ii, director
918, peyton_reed, director
919, neil_labute, director
920, fina_torres, director
921, rod_lurie, director
922, kenneth_lonergan, director
923, tony_bill, director
924, steve_rash, director
925, paddy_breathnach, director
926, richard_benjamin, director
927, amos_kollek, director
928, john_stockwell, director
929, lea_pool, director
930, joyce_chopra, director
932, james_w_horne, director
933, william_richert, director
934, peter_chelsom, director
935, allen_hughes, director
936, chris_wedge, director
937, eddy-terstall, director
938, nico_mastorakis, director
939, callie_khouri, director
940, rob_bowman, director
941, 1185187-joel_bergvall, director
942, peter_kosminsky, director
943, atom_egoyan, director
944, jesse_moss, director
945, 1140240-tom_brady, director
946, rob_marshall, director
947, meghna-gulzar, director
948, nancy_savoca, director
949, costagavras, director
950, daisy_von_scherler_mayer, director
951, dover_koshashvili, director
953, lisa_cholodenko, director
954, bruno_barreto, director
955, tamas-sas, director
956, koji_kawano, director
957, gary_fleder, director
958, robert_benton, director
959, billy_ray, director
960, peter_webber, director
961, vadim_perelman, director
962, andy_cadiff, director
963, david_koepp, director
964, nir_bergman, director
965, gregor_jordan, director
966, matthew_ryan_hoge, director
967, marco_tullio_giordana, director
968, peter_bogdanovich, director
969, shona_auerbach, director
970, nick_cassavetes, director
971, john_curran, director
972, mira_nair, director
973, john_duigan, director
974, forest_whitaker, director
975, brad_anderson, director
976, yann_samuell, director
977, 1059231-john_waters, director
978, christophe_barratier, director
979, ken_loach, director
980, david_teboul, director
981, paul_weitz, director
982, mike_binder, director
983, dan_harris, director
984, clare_kilner, director
985, nimrd-antal, director
987, eytan_fox, director
988, rebecca_miller, director
989, breck_eisner, director
990, nigel-cole, director
991, paul_haggis, director
992, ken_kwapis, director
993, miranda_july, director
994, gary_david_goldberg, director
995, arie_posin, director
996, phil_morrison, director
997, 1121836-mike_mills, director
998, shane_black, director
999, ben_younger, director
1000, christian_carion, director
1001, stephen_gaghan, director
1003, clyde_bruckman, director
1004, laurence_dunmore, director
1005, mike_barker, director
1006, tom_bezucha, director
1007, tommy_lee_jones, director
1008, duncan_tucker, director
1009, ol_parker, director
1010, amos_gitai, director
1011, ryan_thomas, director
1012, 1167238-rian_johnson, director
1013, jaidev_chakravorty, director
1014, neil_armfield, director
1015, alejandro_agresti, director
1016, isabel_coixet, director
1017, ryan_fleck, director
1018, neil_burger, director
1019, tony_goldwyn, director
1020, eric-steel, director
1021, todd_field, director
1022, pooja_bhatt, director
1023, suzanne_bier, director
1024, gabor_csupo, director
1025, adrienne_shelly, director
1026, scott_frank, director
1027, jon_kasdan, director
1028, sarah_polley, director
1029, dale_stelly, director
1030, lajos_koltai, director
1031, jeff-blitz, director
1032, julie_delpy, director
1033, joe_wright, director
1034, cristian_mungiu, director
1036, craig_gillespie, director
1037, ben_affleck, director
1038, joseph_cedar, director
1039, julian_schnabel, director
1040, kirsten_sheridan, director
1041, noah_baumbach, director
1042, tamara_jenkins, director
1043, paul_o_beale, director
1044, anne_fletcher, director
1045, 1182131-eran_kolirin, director
1046, 770694539, director
1047, 1178596-jieho_lee, director
1048, pete_travis, director
1049, justin_chadwick, director
1050, james_c_strouse, director
1051, david_mackenzie, director
1052, mark_palansky, director
1053, 1180189-etgar_keret, director
1054, helen_hunt, director
1055, bharat_nalluri, director
1056, robert_luketic, director
1057, nicholas_stoller, director
1058, garth_jennings, director
1059, michael_patrick_king, director
1060, claude_lelouch, director
1061, sanaa_hamri, director
1063, martha_coolidge, director
1064, tom_schulman, director
1065, don_mckellar, director
1066, david-hugh-jones, director
1067, marshall_brickman, director
1068, arthur_hiller, director
1069, julien_temple, director
1071, jocelyn_moorhouse, director
1072, tom_dicillo, director
1073, beeban_kidron, director
1074, james_melkonian, director
1075, jeannot_szwarc, director
1076, george_huang, director
1077, tony_richardson, director
1078, harold_becker, director
1079, jeffrey_friedman, director
1081, freida_lee_mock, director
1082, arlene_sanford, director
1083, 1047199-tim_pope, director
1084, stanley_donen, director
1085, thorold_dickinson, director
1086, vincente_minnelli, director
1087, joseph_l_mankiewicz, director
1088, diane_english, director
1089, george_a_romero, director
1090, hamilton_luske, director
1091, wilfred_jackson, director
1092, tom_hanks, director
1093, ted_kotcheff, director
1094, elia_kazan, director
1095, claude_nuridsany, director
1097, leo_mccarey, director
1098, savage_steve_holland, director
1099, james_algar, director
1100, james_whale, director
1102, fw_murnau, director
1103, jonathan_frakes, director
1104, scott_hicks, director
1105, bruce_sinofsky, director
1106, elwood-perez, director
1107, david_mirkin, director
1108, victor_nunez, director
1109, warren_beatty, director
1110, deborah_kaplan, director
1111, majid_majidi, director
1112, chris_eyre, director
1114, jerome_robbins, director
1115, dominique_otheningirard, director
1116, ronny_yu, director
1117, tommy_ohaver, director
1118, jeremy_kagan, director
1119, harve_foster, director
1120, michael_chapman, director
1122, don-hawks, director
1124, randa_haines, director
1125, shekhar_kapur, director
1126, inoshiro-honda, director
1127, michael_ritchie, director
1128, george_seaton, director
1129, jeremiah_s_chechik, director
1130, mary_lambert, director
1131, erick_zonca, director
1132, rodman_flender, director
1133, hirokazu-koreeda, director
1134, frank_perry, director
1135, richard_lester, director
1136, sidney_j_furie, director
1137, roger_nygard, director
1138, jonathan_kaplan, director
1139, peter_hall, director
1140, bob_clark_iii, director
1141, george_dunning, director
1142, 1041838-tom_holland, director
1143, tommy_lee_wallace, director
1144, _0779265, director
1146, ramon_menendez, director
1147, john_ford, director
1148, scott_elliott_ii, director
1149, ed_kaplan, director
1150, fran_rubel_kuzui, director
1151, james_frawley, director
1152, stanley_kramer, director
1153, harry_hook, director
1154, david_seltzer, director
1155, barbra_streisand, director
1156, gina_prince, director
1157, stan_dragoti, director
1158, bart_freundlich, director
1159, peter_r_hunt, director
1160, steve_kloves, director
1161, des_mcanuff, director
1162, joseph_green, director
1163, takao_okawara, director
1164, mark_dindal, director
1165, harry_moses, director
1166, e_elias_merhige, director
1167, ha_myeongjung, director
1168, jamie_blanks, director
1169, richard_brooks_i, director
1170, _1147200, director
1171, dennie_gordon, director
1172, martin_ritt, director
1173, dale_launer, director
1174, anthony_harvey, director
1175, greg_beeman, director
1176, yahoo_serious, director
1177, jim_mcbride, director
1178, jeff_kanew, director
1179, daniel_sackheim, director
1180, george_sluizer, director
1181, bobby_farrelly, director
1182, joel_gallen, director
1183, john_patrick_shanley, director
1184, mikhail_kalatozov, director
1185, carl_gottlieb, director
1186, peter_h_hunt, director
1187, babak_payami, director
1188, paul_mazursky, director
1189, clarence_brown, director
1190, brian_koppelman, director
1191, _0210130, director
1192, franco_zeffirelli, director
1193, daniel-petrie-jr, director
1194, lee_tamahori, director
1196, raoul_walsh, director
1197, keith-fulton, director
1198, guy_green, director
1199, anthony_mann, director
1200, law_chun_lone, director
1201, andrew_jarecki, director
1202, catherine_morshead, director
1203, howard_storm, director
1204, jeff_lieberman, director
1206, carl_theodor_dreyer, director
1207, rod_daniel, director
1209, dw_griffith, director
1210, patty_jenkins, director
1211, john_hamburg, director
1212, jacques_tati, director
1213, louis_j_gasnier, director
1214, sam_weisman, director
1215, robert_bresson, director
1216, cecil_b_demille, director
1217, nunnally_johnson, director
1218, king_vidor, director
1219, robert_mandel, director
1220, janet_greek, director
1221, ubaldo_ragona, director
1222, louis_malle, director
1223, alain_resnais, director
1224, 1104069-john_roberts, director
1225, geoffrey_sax, director
1226, chris_marker, director
1227, hc_potter, director
1228, danny_schechter, director
1229, gillo_pontecorvo, director
1230, da_pennebaker, director
1231, chris_kentis, director
1232, ross-kauffman, director
1233, nicole_kassell, director
1234, margarethe_von_trotta, director
1235, henryalex_rubin, director
1236, jay__chandrasekhar, director
1237, mikael_hafstrom, director
1238, gavin-hood, director
1239, jeanpierre_dardenne, director
1241, chris_paine, director
1242, patrick_creadon, director
1243, patrick_stettner, director
1244, liam_lynch, director
1245, dwayne_carey_hill, director
1246, matt_reeves, director
1248, robert_de_niro, director
1249, ian_mcnaughton, director
1250, robert_rossen, director
1251, bill_paxton, director
1252, joe_carnahan, director
1253, john_singleton, director
1254, roger_avary, director
1255, ryan-little, director
